Differenzgeschwindigkeit ,v_0  ,$\frac{2v_0}{\bar{v}_{\text{ab}}-\bar{v}_{\text{auf}}}$,Prüfe Gültigkeitsbereich
"0,05","0,02","1,02",im Gültigkeitsbereich
"0,04","0,02","1,09",im Gültigkeitsbereich
"0,06","0,01","0,48",nicht im Gültigkeitsbereich
"0,03","0,02","1,00",im Gültigkeitsbereich
"0,05","0,03","1,07",im Gültigkeitsbereich
"0,03","0,02","1,22",im Gültigkeitsbereich
"0,01","0,02","5,74",nicht im Gültigkeitsbereich
"0,02","0,01","1,09",im Gültigkeitsbereich
"0,00","0,02","63,98",nicht im Gültigkeitsbereich
"0,04","0,02","0,89",im Gültigkeitsbereich
"0,05","0,03","1,04",im Gültigkeitsbereich
"0,02","0,01","0,78",im Gültigkeitsbereich
"0,01","0,02","2,43",nicht im Gültigkeitsbereich
"0,00","0,01","4,59",nicht im Gültigkeitsbereich
"0,04","0,02","1,01",im Gültigkeitsbereich
"0,01","0,03","3,85",nicht im Gültigkeitsbereich
"0,05","0,02","0,74",im Gültigkeitsbereich
"0,02","0,02","1,38",im Gültigkeitsbereich
"0,03","0,02","1,23",im Gültigkeitsbereich
"0,03","0,02","1,09",im Gültigkeitsbereich
"0,04","0,01","0,45",im Gültigkeitsbereich
"-0,01","0,01","-2,00",nicht im Gültigkeitsbereich
