Spannung U [V],V_0,"Steigzeit 1 t_(1,auf) [s]","Steigzeit 2 t_(2,auf) [s]","Steigzeit 3 t_(3,auf) [s]","Fallzeit 1 t_(1,ab)","Fallzeit 2 t_(2,ab)","Fallzeit 3 t_(3,ab)",Fallzeit Mittel \overline{t_(ab) [s]}Steigzeit Mittel \overline{t_(auf) [s]},,Temperatur T [°C]
201,"21,11","4,76","4,23","4,47","3,13","3,15","3,22","4,49","3,17",22
201,"24,52","6,84","6,91","5,6","4,54","4,38","4,13","6,45","4,35",22
201,"37,21","4,7","3,13","3,33","2,66","2,61","2,59","3,72","2,62",22
201,"32,45","3,24","2,62","2,72","2,59","2,2","2,5","2,86","2,43",22
201,"18,24","4,72","5,56","5,77","3,2","3,67","3,52","5,35","3,46",22
201,"26,39","3,07","3,27","3,16","2,52","2,72","2,7","3,17","2,65",22
201,"29,28","2,41","2,44","2,54","2,39","2,4","2,38","2,46","2,39",22
201,"45,39","2,7","2,94","2,86","2,62","2,58","2,43","2,83","2,54",22
230,"22,45","3,6","3,72","4,09","3,87","3,78","3,7","3,80","3,78",21
230,"31,59","3,66","2,91","3,01","2,52","2,71","2,58","3,19","2,60",21
230,"19,01","2,93","2,86","2,91","2,05","2,41","2,26","2,90","2,24",21
230,"53,22","3,68","3,61","3,72","2,83","3,29","3,24","3,67","3,12",21
230,"29,45","6,23","7,02","7,49","5,58","6,32","5,47","6,91","5,79",21
230,"54,16","2,57","2,77","2,93","2,6","2,88","2,61","2,76","2,70",21
230,"24,43","5,03","5,02","5,31","3,7","3,58","3,58","5,12","3,62",21
230,"19,17","2,97","3,15","3,17","3,06","2,69","2,82","3,10","2,86",21
230,"29,66","3,82","3,66","3,82","2,89","2,58","2,97","3,77","2,81",21
230,"29,08","2,5","2,48","2,43","1,97","2,24","2,4","2,47","2,20",21
230,"29,05","2,86","3,51","2,96","2,37","2,62","2,96","3,11","2,65",21
230,"32,07","2,21","2,33","2,4","1,95","2,04","2,14","2,31","2,04",21
230,"50,09","2,53","2,68","2,75","2,11","2,1","2,25","2,65","2,15",21
230,"42,67","2,17","2,12","2,05","1,99","2,38","2,28","2,11","2,22",21
