Steiggeschwindigkeit ,Fallgeschwindigkeit  ,Differenzgeschwindigkeit ,v_0  ,Luftviskosität,,,,,
"0,11","0,16","0,05","0,02","18,34",,22,"4,49","3,17","21,11"
"0,08","0,11","0,04","0,02","18,34",,22,"6,45","4,35","24,52"
"0,13","0,19","0,06","0,01","18,34",,22,"3,72","2,62","37,21"
"0,17","0,21","0,03","0,02","18,34",,22,"2,86","2,43","32,45"
"0,09","0,14","0,05","0,03","18,34",,22,"5,35","3,46","18,24"
"0,16","0,19","0,03","0,02","18,34",,22,"3,17","2,65","26,39"
"0,20","0,21","0,01","0,02","18,34",,22,"2,46","2,39","29,28"
"0,18","0,20","0,02","0,01","18,34",,22,"2,83","2,54","45,39"
"0,13","0,13","0,00","0,02","18,28",,21,"3,8","3,78","22,45"
"0,16","0,19","0,04","0,02","18,28",,21,"3,19","2,6","31,59"
"0,17","0,22","0,05","0,03","18,28",,21,"2,9","2,24","19,01"
"0,14","0,16","0,02","0,01","18,28",,21,"3,67","3,12","53,22"
"0,07","0,09","0,01","0,02","18,28",,21,"6,91","5,79","29,45"
"0,18","0,19","0,00","0,01","18,28",,21,"2,76","2,7","54,16"
"0,10","0,14","0,04","0,02","18,28",,21,"5,12","3,62","24,43"
"0,16","0,17","0,01","0,03","18,28",,21,"3,1","2,86","19,17"
"0,13","0,18","0,05","0,02","18,28",,21,"3,77","2,81","29,66"
"0,20","0,23","0,02","0,02","18,28",,21,"2,47","2,2","29,08"
"0,16","0,19","0,03","0,02","18,28",,21,"3,11","2,65","29,05"
"0,22","0,25","0,03","0,02","18,28",,21,"2,31","2,04","32,07"
"0,19","0,23","0,04","0,01","18,28",,21,"2,65","2,15","50,09"
"0,24","0,23","-0,01","0,01","18,28",,21,"2,11","2,22","42,67"
